CustomerNumber,StoreNumber,CustomerName,Address,City,State,ZipCode,SalesmanNumber,CustomerYTDSales,CustomerStartDate,Customer_Corporate_master,StatusCode,Call_Route_1,Call_Seq_1,Call_Route_2,Call_Seq_2,Call_Route_3,Call_Seq_3,Call_Route_4,Call_Seq_4,Call_Route_5,Call_Seq_5,Call_Route_6,Call_Seq_6,Call_Route_7,Call_Seq_7,Del_Route_1,Del_Seq_1,Del_Route_2,Del_Seq_2,Del_Route_3,Del_Seq_3,Del_Route_4,Del_Seq_4,Del_Route_5,Del_Seq_5,Del_Route_6,Del_Seq_6,Del_Route_7,Del_Seq_7,TaxCode,TermsCode,CreditLimit,CigaretteTaxNumber,StateTaxID,Areacode,PhoneNumber,SalesGroup,AuthorizedItemCode
904367,0,CONCORD FUEL STOP - CONCORD FOOD & ,5719 WARRIOR RIVER RD         ,CONCORD                       ,AL,35023,30,30598.68,11/18/2010,100,A,S130  ,99,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,220   ,90,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,03 ,0,                  ,SLS-R011621205    ,0,2396196,      , 
904383,0,RT 20 TARRANT FOOD MART            ,1103 BETHEL AVE               ,TARRANT                       ,AL,35217,20,0,11/18/2010,904383,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28230,03 ,0,                  ,SLSR000024368     ,0,8416956,      , 
904441,0,280 PACKAGE STORE #2  (CLOSED)     ,503 C CAHABA PARK CIRCLE      ,BIRMINGHAM                    ,AL,35242,40,0,11/18/2010,904441,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,02 ,0,                  ,171177            ,0,4081333,      , 
904649,0,VILLAGE SPIRITS (SHAMROCK&SONS) ENT,1815 CRESTWOOD BLVD           ,IRONDALE                      ,AL,35210,85,14463.68,11/18/2010,199,A,      ,0,      ,0,      ,0,S485  ,130,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,517   ,90,      ,0,      ,0,A28165,E2+,0,                  ,SLS-R007272455    ,0,9513810,      , 
904656,0,EXXON 150                          ,2270 AL 150 HOOVER AL         ,HOOVER                        ,AL,35244,85,21387.78,11/18/2010,100,A,      ,0,      ,0,S385  ,140,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,519   ,152,      ,0,      ,0,A28164,37 ,0,                  ,SLS-R010726882    ,0,2006734,      , 
904847,0,RT 35 TIP TOP ONE STOP             ,**.20 CENT OFF INVOICE**      ,ONEONTA                       ,AL,35007,35,0,11/18/2010,904847,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A85195,03 ,0,                  ,3700 62815        ,0,3242581,      , 
904870,0,OPORTO MADRID LLC                  ,421 OPORTO MADRID BLVD        ,BIRMINGHAM                    ,AL,35206,30,19796.04,11/18/2010,2830,A,      ,0,S230  ,10,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,319   ,60,      ,0,      ,0,      ,0,      ,0,A28108,E2+,0,                  ,SLS-R011539295    ,0,8991030,      , 
904946,0,AVONDALE FOOD MART                 ,4100 AIRPORT HWY              ,BIRMINGHAM                    ,AL,35222,20,0,11/18/2010,904946,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,3700 47167        ,0,5951637,      , 
904953,0,CVS WAREHOUSE #A101      (096)     ,2600 MORGAN RD. @ I-459       ,BESSEMER                      ,AL,35023,60,0,11/18/2010,904953,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A00000,03 ,0,                  ,                  ,0,0,      , 
905091,0,BRIGHT STAR RESTAURANT             ,304 19TH ST NO                ,BESSEMER                      ,AL,35020,35,0,11/18/2010,905091,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28111,05 ,0,                  ,                  ,0,4261861,      , 
905463,0,POP-N-SNACK-KELVINS GAS-N-GROCERIES,3057 ALLISON BONNETT MEM DR   ,HUEYTOWN                      ,AL,35023,30,35628.29,11/18/2010,905463,A,      ,0,      ,0,S330  ,150,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,420   ,100,      ,0,      ,0,      ,0,A28170,37 ,0,011513537         ,SLS-R011573308    ,0,8074157,      , 
905687,0,RT 45 LINCOLN ARCO - HRA           ,75639 AL-77                   ,LINCOLN                       ,AL,35096,45,0,11/18/2010,905687,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A45206,03 ,0,                  ,                  ,0,3242581,      , 
905695,0,RT 30 GREEN VALLEY SHELL - D SALEH ,3230 DARTMOUTH AVE            ,BESSEMER                      ,AL,35020,30,0,11/30/1999,199,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28111,02 ,3,                  ,                  ,0,9992044,      , 
905745,0,MCCALLA SNACK SHOP                 ,5972 OLD TUSCALOOSA HWY       ,MCCALLA                       ,AL,35111,85,0,11/18/2010,100,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,57 ,3,                  ,R006290084        ,0,4770544,      , 
905752,0,CROSS ROAD FOOD MART- JAY SHREE AUB,4737 HWY 119                  ,MONTEVALLO                    ,AL,35115,5,19821.49,11/18/2010,150,A,      ,0,      ,0,      ,0,S405  ,5,      ,0,      ,0,      ,0,      ,0,      ,0,321   ,60,      ,0,      ,0,      ,0,      ,0,A37182,57 ,3,                  ,SLS-R006096263    ,0,6654600,      , 
905786,0,DEE'S A B C PACKAGE STORE          ,2398 GREENSPRINGS HWY         ,BIRMINGHAM                    ,AL,35205,65,2278.59,11/18/2010,905786,A,S165  ,120,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,217   ,120,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,02 ,0,                  ,SLS-3700 26858    ,0,3223333,      , 
905943,0,FAIRFIELD PAYLESS DRUGS            ,4901 GARY AVE                 ,FAIRFIELD                     ,AL,35064,20,0,11/18/2010,905943,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28141,03 ,3,                  ,3700 26289        ,0,7854343,      , 
905950,99,FOURTH AVE SUPER MARKET #99        ,528 4TH AVE NO                ,BESSEMER                      ,AL,35020,78,0,11/18/2010,599,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28111,03 ,0,                  ,3700S00257        ,0,4246625,      , 
905968,0,KING'S FOODS #1 - (ALMHN FOODS)    ,4301 10TH AVE NO              ,BIRMINGHAM                    ,AL,35212,20,22599.52,11/18/2010,905968,A,      ,0,S220  ,30,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,319   ,110,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,SLS-R010136755    ,0,5916828,      , 
906156,0,ST VINCENTS -HOSPITAL GIFT SHOP    ,810 ST VINCENTS DR            ,BIRMINGHAM                    ,AL,35205,15,857.47,11/18/2010,250,A,      ,0,      ,0,      ,0,S415  ,140,      ,0,      ,0,      ,0,116   ,40,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,05 ,3,                  ,EXM0000022877     ,0,9397154,      , 
906164,0,GIBSON PHARMACY                    ,1113 LOMB AVE SW              ,BIRMINGHAM                    ,AL,35211,20,2964.64,11/18/2010,906164,A,      ,0,      ,0,      ,0,      ,0,S520  ,120,      ,0,      ,0,117   ,50,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,SLS-3700 36764    ,0,7874692,      , 
906180,0,RT 25 UNIVERSITY CHEVRON           ,                              ,TUSCALOOSA                    ,AL,35203,25,0,11/18/2010,906180,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A50227,03 ,0,                  ,680005914         ,0,3242581,      , 
906222,0,HANDY FOOD MART                    ,439 DECATUR HWY               ,GARDENDALE                    ,AL,35071,35,87869.83,11/18/2010,906222,A,      ,0,S235  ,70,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,310   ,50,      ,0,      ,0,      ,0,      ,0,A28000,03 ,0,                  ,SLS-R000020313    ,0,6312954,      , 
906255,0,RT 73 GULF SHORES CHEVRON          ,                              ,GULF SHORES                   ,AL,35222,73,0,11/18/2010,906255,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A10194,03 ,0,                  ,                  ,0,5950034,      , 
906420,0,LLOYD'S RESTAURANT    AA           ,5301 HWY 280 SO               ,BIRMINGHAM                    ,AL,35242,85,0,11/18/2010,906420,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A37000,05 ,0,                  ,R008906734        ,0,9915530,      , 
906479,0,LUSCO FOOD STORE                   ,3800 FRED SHUTTLEWORTH D      ,BIRMINGHAM                    ,AL,35207,30,0,11/18/2010,906479,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,02 ,0,                  ,3700 53243        ,0,8412543,      , 
906594,0,JJ'S ONE STOP LLC                  ,3201 26TH STREET N            ,BIRMINGHAM                    ,AL,35207,30,0,11/18/2010,906594,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28108,03 ,0,                  ,SLS-R010061859    ,0,5872799,      , 
906727,0,RACEWAY QUICK STOP                 ,1202 9TH AVE NO               ,BESSEMER                      ,AL,35020,35,5535.82,11/18/2010,100,A,      ,0,      ,0,      ,0,S435  ,90,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,519   ,55,      ,0,      ,0,A28111,03 ,0,                  ,SLS-3700 67509    ,0,4280025,      , 
906768,0,NABEEL'S IMPORTED FOODS            ,1706 OXMOOR RD                ,HOMEWOOD                      ,AL,35209,20,0,11/18/2010,906768,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28159,02 ,0,                  ,3700 48370        ,0,8799292,      , 
906859,0,OUR LADY OF SORROW'S               ,1728 OXMOOR RD                ,BIRMINGHAM                    ,AL,35209,60,0,11/18/2010,906859,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28000,05 ,0,                  ,                  ,0,8718121,      , 
906917,0,BANIK FOOD MART                    ,854 DOWNTOWNER BLVD           ,MOBILE                        ,AL,36609,70,0,11/18/2010,906917,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A35181,57 ,3,                  ,SLS-R010874057    ,0,6523974,      , 
906925,0,RT 53 PEACH PARK CLANTON           ,                              ,PEACH PARK CLAN               ,AL,35213,53,0,11/18/2010,906925,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A44121,03 ,0,                  ,                  ,0,9565699,      , 
906933,0,RT 50 ATALLA MARATHON - HRA        ,                              ,COLLINSVILLE                  ,AL,35983,50,0,11/18/2010,906933,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A22098,03 ,0,                  ,                  ,0,7884651,      , 
906941,0,PIC A PAC HOOVER                   ,3219 LORNA RD                 ,HOOVER                        ,AL,35216,5,0,11/18/2010,906941,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28164,03 ,0,                  ,3700 39739        ,0,8237103,      , 
906958,0,ZIGGLY WIGGLY #001 HOMEWOOD        ,3000 MONTGOMERY HWY           ,BIRMINGHAM                    ,AL,35209,60,0,11/18/2010,906958,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28159,03 ,0,                  ,                  ,0,8790884,      , 
906974,0,ZIGGLY WIGGLY #003 CRESTLINE       ,93 EUCLID AVE                 ,MTN BROOK                     ,AL,35213,60,0,11/18/2010,906974,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28188,03 ,0,                  ,                  ,0,8705640,      , 
906982,0,PIGGLY WIGGLY #235 COLUMBIANA      ,211 WEST COLLEGE              ,COLUMBIANA                    ,AL,35051,40,0,11/18/2010,906982,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A37123,03 ,0,                  ,580005269         ,0,6694278,      , 
907022,44,PIC N SAV #44 MONTEVALLO     NO TOB,4563 HWY 25                   ,MONTEVALLO                    ,AL,35115,78,0,11/18/2010,1234,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A37182,03 ,0,                  ,610809            ,205,6652712,      , 
907055,0,PIZITZ MIDDLE SCHOOL               ,2020 PIZITZ DR                ,VESTAVIA                      ,AL,35216,60,0,11/18/2010,907055,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28242,03 ,0,                  ,                  ,0,8230423,      , 
907097,0,RITCH'S PHARMACY                   ,2714 CAHABA RD                ,BIRMINGHAM                    ,AL,35223,5,522.78,11/18/2010,907097,A,      ,0,      ,0,      ,0,      ,0,S505  ,30,      ,0,      ,0,115   ,130,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A28188,03 ,0,                  ,3700 54839        ,0,8711141,      , 
907139,0,RT 63 WILLI'S                      ,PRICE BOOK FOR SALES REP      ,RUSSELVILLE                   ,AL,35570,63,0,11/18/2010,907139,A,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,      ,0,A25000,02 ,0,                  ,3700 51422        ,0,3242581,      , 
